AirportID|AirportCode|AirportName|Latitude|Longitude|MainCityID|CountryCode
6033431|YCS|Chesterfield Inlet, NU, Canada (YCS)|63.344987|-90.731964||CA
6033433|YCZ|Creston, BC, Canada (YCZ)|49.038093|-116.495590|9277|CA
6033435|YDC|Drayton Valley, AB, Canada (YDC-Drayton Valley Industrial)|53.265110|-114.954414|10565|CA
6033437|YDE|Paradise River, NL, Canada (YDE)|53.425799|-57.231903||CA
6033439|YDF|Deer Lake, NL, Canada (YDF-Deer Lake Regional)|49.209902|-57.399777|3978|CA
6033441|YDG|Digby, NS, Canada (YDG)|44.549194|-65.786433|10566|CA
6033443|YDL|Dease Lake, BC, Canada (YDL)|58.425898|-130.016327||CA
6033445|YDN|Dauphin, MB, Canada (YDN)|51.101915|-100.059557||CA
6033447|YDO|Dolbeau, PQ, Canada (YDO-Saint-Félicien)|48.774901|-72.364969||CA
6033449|YDP|Nain, NL, Canada (YDP)|56.549832|-61.682396||CA
6033451|YDQ|Dawson Creek, BC, Canada (YDQ)|55.739168|-120.185409||CA
6033455|YDT|Vancouver, BC, Canada (YDT-Boundary Bay)|49.080710|-123.015670||CA
6033457|YDV|Bloodvein, MB, Canada (YDV-Bloodvein River)|51.787152|-96.693260||CA
6033459|YED|Edmonton, AB, Canada (YED-Canadian Forces Base Edmonton)|53.674340|-113.480940||CA
6033461|YEL|Elliot Lake, ON, Canada (YEL-Elliot Lake Municipal)|46.352130|-82.556180||CA
6033463|YEM|Manitowaning, ON, Canada (YEM-Manitoulin East Municipal)|45.842434|-81.854324||CA
6033465|YER|Fort Severn, ON, Canada (YER)|56.017767|-87.677937||CA
6033467|YEV|Inuvik, NWT, Canada (YEV-Mike Zubko)|68.306410|-133.497577||CA
6033469|YEY|Amos, PQ, Canada (YEY-Magny)|48.558830|-78.242805||CA
6033471|YFA|Fort Albany, ON, Canada (YFA)|52.204346|-81.687469||CA
6033473|YFC|Fredericton, NB, Canada (YFC-Greater Fredericton Intl.)|45.873040|-66.529660|3935|CA
6033475|YFE|Forestville, PQ, Canada (YFE)|48.746017|-69.086516||CA
